type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA,year_04295_IT,year_04297_ITA,year_04296_ITE,year_04271_ME,year_04222_ID,year_04234_IDE,year_04160_MSI,year_04224_MSIE,year_04273_MEME,year_04423_MAV,year_04406_MT,year_04404_MPP,year_04401_MISE,year_04402_MISA,year_04405_MIS
maj,9436,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9437,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9438,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9439,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9440,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9441,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,9443,Legal Futures and Technnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maj,10053,Data Analytics and Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,1010,Electronics and Computer Interfacing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,1012,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,1026,Quantitative Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,1032,Statistical Modelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,2057,Scientific Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,2064,Business Information Systems Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,2065,Data Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,2066,Computer Graphics and Animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,2067,Interaction Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,3036,Enterprise Systems Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,3037,Networking and Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8157,Business Accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8159,Employment Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8160,International Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8181,Introductory Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8188,Accounting for Small Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8196,Innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8197,Marketing Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,8198,Advertising Principles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,9034,International Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,9035,Language other than English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,9036,Specialist Country Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,9040,Introductory Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smj,10051,Network Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90016,China: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90017,France: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90018,Germany: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90020,Italy: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90021,Japan: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90022,Latin America: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90023,Spain: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90273,Core subjects (Business),48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90506,Latino USA: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90507,Quebec: Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90508,Switzerland (French): Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90509,Switzerland (German): Specialist Country Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90651,Core subjects (Information Technology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90691,Law Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90832,Core (Law),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90839,Core subjects (Creative Intelligence and Innovation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,90990,IT Work Integrated Learning Prog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91157,Work Integrated Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91158,Core subjects (Information Technology),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91172,Core Honours subjects (Computing Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91173,Core subjects (Computing Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91303,Core subjects (Games Development),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91314,China: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91315,France: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91316,Germany: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91317,Italy: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91318,Japan: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91320,Latino USA: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91321,Canada (Quebec): International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91322,Spain: International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91323,Switzerland (French): International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91324,Switzerland (German): International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stm,91325,Switzerland (Italian): International Studies stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,01012-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,01026-1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xbk,01032-1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
