id,id2
cbk90417,cbk90418
cbk90417,cbk90483
cbk90417,cbk90485
cbk90417,cbk90486
cbk90418,cbk90490
cbk90418,cbk90492
cbk90418,cbk90493
cbk90480,97101
cbk90480,97102
cbk90480,97103
cbk90480,97104
cbk90480,97105
cbk90480,97106
cbk90480,97109
cbk90480,97110
cbk90480,97111
cbk90480,97112
cbk90480,97113
cbk90481,97201
cbk90481,97202
cbk90481,97203
cbk90481,97204
cbk90481,97205
cbk90481,97206
cbk90481,97207
cbk90481,97208
cbk90481,97209
cbk90481,97210
cbk90483,97401
cbk90483,97402
cbk90483,97403
cbk90483,97404
cbk90483,97405
cbk90483,97406
cbk90483,97407
cbk90483,97408
cbk90483,97409
cbk90483,97410
cbk90484,97501
cbk90484,97502
cbk90484,97503
cbk90484,97504
cbk90484,97505
cbk90484,97506
cbk90484,97507
cbk90484,97508
cbk90484,97509
cbk90484,97510
cbk90485,97601
cbk90485,97602
cbk90485,97603
cbk90485,97604
cbk90485,97605
cbk90485,97606
cbk90485,97607
cbk90485,97608
cbk90486,97801
cbk90486,97802
cbk90486,97803
cbk90486,97804
cbk90486,97805
cbk90486,97806
cbk90486,97807
cbk90486,97808
smj10102,68101
smj10102,68201
smj10102,68316
smj10102,68415
smj01012,68101
smj01012,68201
smj01012,68315
smj01012,01012-1
smj01012,68414
smj01012,68415
smj01026,37131
smj01026,37242
smj01026,01026-1
smj01026,37343
smj01026,37344
smj01026,37345
smj01032,37252
smj01032,01032-1
smj01032,37131
smj01032,37132
smj01032,37151
smj01032,37161
smj01032,37253
smj01032,37255
smj01032,37262
smj01032,37356
smj01032,37363
maj01156,37161
maj01156,37233
maj01156,37234
maj01156,37252
maj01156,37262
maj01156,37335
maj01156,37363
maj01156,37438
maj01157,01157-1
maj01157,01157-2
maj01157,37161
maj01157,37233
maj01157,37242
maj01157,37252
maj01157,37343
maj01157,37344
maj01157,37262
maj01157,37345
01157-2,37363
01157-2,37481
maj01158,01158-1
maj01158,37161
maj01158,37233
maj01158,37242
maj01158,37252
maj01158,37253
maj01158,37357
maj01158,37459
maj01158,37356
maj01158,37373
maj01158,37458
smj02057,35383
smj02057,37233
smj02057,02057-1
