09036-1,,xbk,24
09040-1,,xbk,6
09209-1,,xbk,18
09443-1,,xbk,6
10051-1,,xbk,12
10053-1,,xbk,24
90839-1,,xbk,6
91314-1,,xbk,8
91315-1,,xbk,8
91316-1,,xbk,8
91317-1,,xbk,8
91318-1,,xbk,8
91320-1,,xbk,8
91321-1,,xbk,8
91322-1,,xbk,8
91323-1,,xbk,8
91324-1,,xbk,8
91325-1,,xbk,8
91780-1,,xbk,24
21440,Management Skills,,6
21506,International Business Capstone,,6
21555,Introduction to Human Resource Management,,6
21595,International Management Field Study,,6
21999,Business Internship,,6
22319,Financial Statement Analysis (Capstone),,6
22421,Management Decisions and Control,,6
22522,Assurance Services and Audit,,6
23002,Market Design,,6
23005,Behavioural Economics,,6
23021,Labour Economics,,6
23022,Public Economics,,6
23115,Economics for Business,,6
23418,Economics of Money and Finance,,6
23504,Economics of Competition and Strategy,,6
23565,Mathematics for Economy and Businenss,,6
23566,Economics for Business 2,,6
23567,Intermediate Microeconomics,,6
23568,Intermediate Macroeconomics,,6
23569,Economic Growth and Development,,6
23570,Economics of the Environment,,6
23571,Introductory Econometrics,,6
23572,Applied Microeconometrics,,6
23580,The Global Economy (Capstone),,6
23592,Game Theory,,6
23999,Business Internship,,6
24101,Applied Project in Advertising and Marketing Communication,,6
24104,Digital Marketing and Social Media,,6
24205,Business-to-Business Marketing,,6
24207,Media Planning,,6
24220,International Marketing,,6
24306,Services Marketing,,6
24309,Marketing Research,,6
24510,Advertising Research,,6
25300,Fundamentals of Business Finance,,6
25410,Corporate Financial Analysis (Capstone),,6
25421,International Financial Management,,6
25503,Investment Analysis,,6
25556,The Financial System,,6
25557,Corporate Finance: Theory and Practice,,6
25558,Issues in Corporate Finance,,6
25573,Time Series Econometrics,,6
25574,Commercial Bank Management,,6
25575,Investment Bannking,,6
25579,Applied Portfolio Management,,6
25602,Ethics in Finance,,6
25620,Derivative Securities,,6
25622,Quantitative Business Analysis,,6
25999,Business Internship,,6
26100,Integrating Business Perspectives,,6
26134,Business Statistics,,6
31016,Career Management for IT Professionals,,6
31274,Network Management,,6
31275,Mobile Networking,,6
